Master Key,UPC,EPC Value:,Style,Color,Size,Make
9E+12,84084874979,30340521D05572682144AEA3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D055726821471EA3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D05572682144AEF3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D0556F68DCCBD3AA,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D055726821479E33,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D05572682144AE33,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D055726821418EB3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D055726821441EA3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D055726821441E53,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D0557268214A2ED3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D055726821479EC3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D0556F68DCD0839A,Jeans,Blue,32 x 30,Lee
9E+12,84084874856,30340521D0556F68DCCEF32B,Jeans,Blue,29 x 30,Lee
9E+12,84084874979,30340521D05572682144AEE3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D05572682144AED3,Jeans,Blue,32 x 30,Lee
9E+12,84084874979,30340521D055726821471E43,Jeans,Blue,32 x 30,Lee
9E+12,84084874856,30340521D0556F68DCC143AA,Jeans,Blue,29 x 30,Lee
9E+12,84084874856,30340521D0556F68DCC4A39A,Jeans,Blue,29 x 30,Lee
9E+12,84084874856,30340521D0556F68DCCBD37B,Jeans,Blue,29 x 30,Lee
9E+12,84084874856,30340521D0556F68DCC3638B,Jeans,Blue,29 x 30,Lee
9E+12,84084874856,30340521D0556F68DCC363AA,Jeans,Blue,29 x 30,Lee
9E+12,84084874856,30340521D0556F68DCC8C37B,Jeans,Blue,29 x 30,Lee
9E+12,84084874856,30340521D0556F68DCD2139A,Jeans,Blue,29 x 30,Lee
9E+12,84084874856,30340521D055726A30D9B30A,Jeans,Blue,32 x 30,Lee
9E+12,51071851756,3034031DFC532DC00000003D,Jeans,Blue,50 x 30,Wrangler
9E+12,51071851756,3034031DFC532DC000000004,Jeans,Blue,50 x 30,Wrangler
9E+12,51071851756,3034031DFC532DC00000000D,Jeans,Blue,50 x 30,Wrangler
9E+12,51071851756,3034031DFC532DC00000003C,Jeans,Blue,50 x 30,Wrangler
9E+12,51071851756,3034031DFC532DC00000003A,Jeans,Blue,50 x 30,Wrangler
9E+12,51071851756,3034031DFC532DC000000008,Jeans,Blue,50 x 30,Wrangler
9E+12,3443699,303400000C2B546D07A5EA71,Shirt,Grey,XL,Lulu Lemon
9E+12,3443699,303400000C2B546D07A5EA61,Shirt,Grey,XL,Lulu Lemon
9E+12,3443699,303400000C2B546D07A5EA51,Shirt,Grey,XL,Lulu Lemon
9E+12,3443699,303400000C2B546D07A5EA01,Shirt,Grey,XL,Lulu Lemon
9E+12,3443699,303400000C2B546D07A5C8F1,Shirt,Grey,XL,Lulu Lemon
